nid,uid,path,title,body,field_images,field_main_image,field_main_image_alt,langcode,changed,field_image_attribution_ahc,field_slideshow_ahc,field_pdf
7740751,1,/ahc,Austin History Center,"<div class=""sections grid-container"" id=""home-sections"">\n<p id=""quotation"">The Austin History Center's mission is to procure, preserve, present, and provide the historical records that make up Austin's unique story.</p>\n</div>",,,,English,1713979437,,,
7732925,1,/ahc/soy-austin-soy-travis-county-call-nominations,"Soy Austin, Soy Travis County: Call for Nominations","<h2><strong>CALL FOR NOMINATIONS</strong></h2>\n\n<h2><a href=""/es/ahc/soy-austin-soy-el-condado-de-travis-0"">ESPAÑOL</a></h2>\n\n<p>Do you know any Latin American artists who call Austin or Travis County home?</p>\n\n<p>The Austin History Center is seeking nominations for Latino/a/e/x Artists whose histories should be included in our archives<strong>!</strong></p>\n\n<p>All nominated artists will be considered for inclusion in our archives. Some of these artists will be celebrated through a traveling exhibit, “Soy Austin, Soy Travis County.” </p>\n\n<h3><strong>What is Soy Austin, Soy Travis County?</strong></h3>\n\n<p>The purpose of this program will be to bridge the gap in the historical record regarding Artists from the broader Latin American community of Austin/Travis County that is available at the Austin History Center (AHC). To see who is currently represented in our Biography Files please review our <a href=""/library/ahc/supplemental/LatinoaexBioFiles.pdf"">Latino/a/e/x Bio Files PDF</a>.</p>\n\n<p>We invite the community to nominate Austin or Travis County-based Latino/a/e/x artists whose histories will be included in the AHC's Biography Files Collection through shared artifacts such as documents, photographs, and oral histories. All nominated individuals who meet the criteria for this program will be included in our archives. </p>\n\n<p>In order to qualify to be included in this round of nominations, please be sure that the person you are nominating:</p>\n\n<p>1) identifies as a person of Latin American descent, </p>\n\n<p>2) is an active artist in any form, and </p>\n\n<p>3) lives in Austin or Travis County or has called Austin/Travis County home for a significant period of time. </p>\n\n<p>This person can be living or deceased.</p>\n\n<p>If they meet these criteria then please submit a <a href=""https://forms.office.com/pages/responsepage.aspx?id=9hleXKumRUux0L5GCKmmf_srvmiWolJOibJen4-TMC9UMVc4TzcyWlVMOEJBS1JUQU5ONlY2VjhLSy4u"">nomination form here</a>. To preview the questions for this nomination form please scroll to the bottom of this page. </p>\n\n<p>The Austin History Center will commit to digitizing anything shared with us and return the shared historical items through a post-custodial loan process. We will borrow the historical items temporarily so that we can create digital copies and will then return the materials to the owners. The digital copies will be made available to researchers at the AHC.</p>\n\n<h3><strong>Traveling Exhibit</strong></h3>\n\n<p>An advisory selection committee of 5 community members will be formed to choose 10-15 of the nominated artists whose biographies and images will be featured in a traveling exhibit. We will also conduct oral history interviews with these individuals to ensure their stories are recorded in Austin's history. We will celebrate these artists through an unveiling event to be held at a later date. </p>\n\n<p>If you have any questions or to find out more information, please feel free to contact Marina Islas at marina.islas@austintexas.gov</p>\n\n<h3><strong>Nomination Form Questions</strong></h3>\n\n<p>Below are the questions that we ask in the nomination form. Please, review them and ensure that you have all the required information ready before submitting. All required questions have are marked with an asterisk*. When you're ready to submit please complete the <a href=""https://forms.office.com/g/pzHZ5JpSjm "">Nomination Form here</a>. </p>\n\n<p><span><strong><span><span><span><span>Nominee Personal Information</span></span></span></span></strong></span></p>\n\n<blockquote>\n<p><span><span><span><span><span><span>Is this person Living or Deceased?</span></span></span></span></span></span></p>\n</blockquote>\n\n<blockquote>\n<p><span><span><span><span><span><span>Last Name</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>First &amp; Middle Name (if known)</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Nicknames and/or Maiden Name</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Gender</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>What is this persons connection to Latin America?</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Home Location</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Zip Code</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>What would be the best way for us to get in contact with this person?</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Date of Birth</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Date of Death (if applicable)</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Preferred Artistic Expression</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Years Active as an Artist</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Why should this person be considered to be included in the Austin History Center's archives?</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Do you have any supplemental materials you can share to help increase our understanding of who this person is? Please link to any online articles or let us know if you have hard copies in the space provided.</span></span></span></span></span></span></p>\n</blockquote>\n\n<p><span><strong><span><span><span><span>Nominee Family Information</span></span></span></span></strong></span></p>\n\n<blockquote>\n<p><span><span><span><span><span><span>If this person is deceased, please provide contact information for a family member who would be willing/able to provide biographical information, photographs, and any other information to assist in the selection process.</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Last Name</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>First Name</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Contact Information</span></span></span></span></span></span></p>\n</blockquote>\n\n<p><span><strong><span><span><span><span>Nominator Information</span></span></span></span></strong></span></p>\n\n<blockquote>\n<p><span><span><span><span><span><span>Last Name</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>First Name</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Contact Information</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Relationship to Nominee</span></span></span></span></span></span></p>\n\n<p><span><span><span><span><span><span>Is there anything else you'd like to add before submitting this form?</span></span></span></span></span></span></p>\n</blockquote>",,http://library.austintexas.gov/library/PICA-25432b.jpg,"Fifteen women are in a room, some seated at sewing machines, some sitting and embroidering, others standing and measuring fabric. One woman wearing a floral patterned dress stands in the center of the room, while another woman in a black dress, sitting on a small bench, makes adjustments to the first woman&#039;s dress.",English,1702317839,"<p>PICA 25432, Austin History Center, Austin Public Library</p>","  <img loading=""lazy"" src=""/library/ahc/gallery/PICA-22366b_0.jpg"" width=""2553"" height=""1982"" alt=""Children stand around a table painting paper-mache elephants"" title=""PICA 22366, Austin History Center, Austin Public Library"" typeof=""foaf:Image"" />\n\n",
7729561,1,/ahc/austin-history-center-cemeteries,Austin History Center Cemeteries Database notes,"<p id=""introduction"">The Austin History Center considers the Austin History Center Cemeteries Database to be a search &amp; access tool (public knowledge space) and not a verbatim transcription of the ledger. The original ledgers are available for research at the Austin History Center. The long-term goal of the Austin Parks and Recreation Department (PARD) is to scan the ledgers and make them available online. In addition, the PARD Cemeteries Division is working on verifying all internment information and creating a new City of Austin Cemetery database starting with Oakwood Cemetery. The cemeteries database maintained and updated by PARD will eventually replace the AHC version of the database except for the Mount Calvary Cemetery information.</p>\n\n<p>AHC goals for the existing Cemeteries Database are:</p>\n\n<ol>\n	<li>to reduce harm whenever possible by updating language and providing context when historical language needs to be retained</li>\n	<li>create a more navigable tool for the average researcher that doesn’t require extensive knowledge of historical language to have a successful search experience</li>\n</ol>\n\n<p id=""informing-our-work"">Informing our work:<br />\n<a href=""https://archivesforblacklives.files.wordpress.com/2019/10/ardr_final.pdf"">A4BLiP Anti-Racist Description Resources</a><em> Handling Racist Folder Titles and Creator-Sourced Description</em> section<br />\nWright, Kirsten. “Archival interventions and the language we use.” Archival Science (2019): 1-18.</p>\n\n<p id=""race-ethnicity""><strong>Race/ethnicity</strong> - This column was referred to as “Color” in the original cemetery ledgers. We use the terminology “Race/Ethnicity” instead as it better describes, identifies, and categorizes individuals according to a shared history, culture, external characteristics, language, nationality, and other identity markers. To repair harmful and offensive language contained in the original document we use terms within this column that are preferred by the contemporary community and descendants of those referenced in the original source documents. We also chose to use language that is considered respectful and conventional in twenty-first century communities and public records.</p>\n\n<p id=""sex""><strong>Sex</strong> – The column labeled “Sex” uses the original designations of “F” (female) and “M” (male) which were used by creators to describe an interred individual’s biological sex.</p>\n\n<p id=""place-of-birth""><strong>Place of Birth</strong> – referred to as ""Nativity"" in the original cemetery ledgers and includes country, state, county, and city names as understood by the cemetery employees at the time the information was recorded. Efforts have been made to update abbreviations for a more consistent searching experience and derogatory terms for a person's place of birth have been updated with contemporary place names. Historic place names for countries (i.e., Prussia) have been maintained. Also, be aware that borders are not fixed throughout history and the country names listed in the database are to be understood in historical context.</p>\n\n<p id=""cause-of-death""><strong>Cause of Death</strong> – referred to as ""Disease"" in the original cemetery ledgers and was renamed to better reflect the information recorded by the cemetery employees. In 1903, the State Department of Public Health and Vital Statistics began requiring the registration of deaths. Before then, physicians were not mandated to record the key pieces of information found in a modern death certificate: the cause, mechanism, and manner of a death. For example, physicians sometimes recorded suicide as the cause as opposed to the manner of death, or they omitted that a murderer inflicted the traumatic injury that caused a person’s death. Moreover, 19th-early 20th century physicians relied partially on demographic information to determine cause of death, i.e. assigned sex, race, age, heredity, habits, and adjudged mental health at the time of death. Stigmatized “causes” of death listed in the city cemetery ledger include dissipation, insanity, lunacy, several types of mania, and nervous exhaustion or prostration. Such diagnoses do not have present-day counterparts and must be viewed with a critical lens.</p>\n\n<p>Importantly, “cause of death” was a racialized category during Reconstruction and the decades following it. Almost all individuals whose cause of death was described as executions were African American males, and due to poor recordkeeping, researchers must do due diligence to determine whether they were judicial or extrajudicial killings. Relatedly, people of color who were suspects or convicted murderers of individuals listed in the ledger are mentioned by their race alone as opposed to their names. This pattern of racialized language when recording cause of death should also be considered when judging the validity of information provided regarding how individuals of color died.</p>\n\n<p id=""where-buried""><strong>Where Buried</strong> – Most of the historic language was retained because our current understanding of cemetery or section names may not be the same as what the cemetery employees were referencing at the time the information was recorded. The one exception is the language used to refer to the historic African American section of the Oakwood Cemetery. The Parks and Recreation Oakwood Cemeteries staff conducted significant research and held community engagement sessions and an agreement was made to name this section of the cemetery the Historic “Colored Grounds”. As a result, references to ""Negro Grounds"", ""Negro Grave Yard"", ""Negro Burial Grounds"", and ""Negro Cemetery"" in the database were all updated to Historic ""Colored Grounds"" to be in line with the Parks and Recreation Department's name for the historic African American section of Oakwood Cemetery. Abbreviations were spelled out to facilitate a more consistent searching experience.</p>\n\n<p>Some people listed in the ledger were buried in the Austin State Hospital (ASH) Cemetery or examined by ASH physicians. In the 19th century, ASH accepted people with dementia, epilepsy, tuberculosis, and other disabilities until additional institutions were built to accommodate specific conditions. Just because an individual was buried at the ASH Cemetery or examined by one of their physicians does not mean that they had mental illnesses. Using records like periodicals, family papers, and probate records can reveal more about the context surrounding the deaths of people identified in this ledger.</p>",,,,English,1701781021,,,
7722828,1,/ahc/biographies-dr-and-helen-white,Biographies for Dr. and Helen White,,,,,English,1701780559,,,"<span class=""file file--mime-application-pdf file--application-pdf""><a href=""/library/ahc/supplemental/AR-2020-032_Family-Biography-00789_0.pdf"" type=""application/pdf"">AR-2020-032_Family-Biography-00789_0.pdf</a></span>\n  <span>(380.8 KB)</span>\n"
7719002,1,/ahc/supplemental-files-july-2022,Supplemental Files - July 2022,,,,,English,1701777979,,,
7698831,1,/ahc/requesting-reproductions,Requesting Reproductions,,,http://library.austintexas.gov/library/PICA-24875.jpg,"Black and white photograph of the Austin History Center Photo Lab, showing a 4-by-5 copy stand system.",English,1701778307,"<p>[AHC Photo Lab with 4x5 copy system], 1991, PICA-24875 detail</p>",,
7698777,1,/ahc/green-book,Green Book,"<p>View the Memo-Books by Friendly R. Rice at <a href=""https://issuu.com/austintexas5/docs/green_book"">https://issuu.com/austintexas5/docs/green_book</a></p>",,http://library.austintexas.gov/library/greenbook_001_cover580x355.jpg,Green Book,English,1701779377,<p>Green Book</p>,,
1734935,1,/ahc/contact-history-center,Contact the History Center,"<p><em>The Austin History Center building is closed for interior renovations. We plan to reopen at 10am on Wednesday, February 28, 2024. During this closure, we are committed to providing as much access to AHC collections as possible. Some physical collections stored onsite may be inaccessible during this time, but many reference questions can be answered using other resources. If you have a question, please email us at austin.historycenter@austintexas.gov or submit your question via one of the contact forms below. If you do not have access to email, please leave a voicemail at 512-974-7480. We will respond to all inquiries as soon as possible.</em></p>\n\n<p><em>---</em></p>\n\n<p><em>El edificio del Centro Historia de Austin está cerrado por renovaciones. Esperamos abrir nuevamente a las 10 am del miercoles 28 de febrero de 2024. Durante este cierre, nos comprometemos a brindar el mayor acceso posible a las colecciones del Centro Historia de Austin. Algunas colecciones físicas almacenadas en el sitio pueden ser inaccesibles durante este tiempo, pero muchas preguntas de referencia se pueden responder utilizando recursos otros. Si tiene alguna pregunta, por favor envíenos un correo electrónico a: austin.historycenter@austintexas.gov. Si no tiene acceso al correo electrónico, puede dejar un mensaje de voz al 512-974-7480. Responderemos a todas las consultas lo más pronto posible.</em></p>\n\n<p> </p>\n\n<p>For non-research questions about the Austin History Center and its programs and resources please use the <a href=""/ahc/contact-austin-history-center"">Contact Us form</a>.</p>\n\n<p>If answering your question is likely to involve research, please visit our <a href=""/ahc/research#referenceservices"">Reference Services page</a> and fill out a <a href=""/ahc/research-and-reproduction-policies"">Research Request Form</a>.</p>\n\n<p>For more information about our reference services and to submit a reference request, please visit our <a href=""/ahc/research#referenceservices"">Reference Services page</a>. Reference staff can also be contacted by phone during open hours at <a href=""tel:5129747480"">512-974-7480</a>.</p>\n\n<p>For information about requesting copies of items from our collections, see our <a href=""https://library.austintexas.gov/ahc/requesting-reproductions#requestingreproductionsfaq"">Requesting Reproductions FAQ</a>.</p>",,http://library.austintexas.gov/library/ahc/AHC_large_rotators_1920x480%20%281%29.png,"AHC staff and visitors in the lobby during Austin Museum Day, 2022",English,1707156274,,,
1725631,1,/ahc/ahc-footer,AHC Footer,"<h3><a href=""/ahc"">AUSTIN HISTORY CENTER</a></h3>\n\n<ul><li><a href=""/ahc/about-us"">About Us</a></li>\n	<li><a href=""/ahc/ahc-history"">AHC History</a></li>\n	<li><a href=""/ahc/contact-history-center"">Contact Us</a></li>\n	<li><a href=""/ahc/meeting-room"">Meeting Rooms</a></li>\n	<li><a href=""/ahc/support-austin-history-center"">Support</a></li>\n	<li><a href=""/"">Austin Public Library</a></li>\n</ul><ul><li><a href=""https://www.facebook.com/AustinHistoryCenter""><img alt=""Image removed."" data-entity-type="""" data-entity-uuid="""" src=""/core/misc/icons/e32700/error.svg"" title=""This image has been removed. For security reasons, only images from the local domain are allowed."" height=""16"" width=""16"" class=""filter-image-invalid"" /></a></li>\n	<li><a href=""https://www.youtube.com/channel/UCmKoOUpsn4H0mUcIGAqFtCQ""><img alt=""Image removed."" data-entity-type="""" data-entity-uuid="""" src=""/core/misc/icons/e32700/error.svg"" title=""This image has been removed. For security reasons, only images from the local domain are allowed."" height=""16"" width=""16"" class=""filter-image-invalid"" /></a></li>\n	<li><a href=""https://www.instagram.com/austinhistorycenter""><img alt=""Image removed."" data-entity-type="""" data-entity-uuid="""" src=""/core/misc/icons/e32700/error.svg"" title=""This image has been removed. For security reasons, only images from the local domain are allowed."" height=""16"" width=""16"" class=""filter-image-invalid"" /></a></li>\n	<li><a href=""https://soundcloud.com/austinhistorycenter""><img alt=""Image removed."" data-entity-type="""" data-entity-uuid="""" src=""/core/misc/icons/e32700/error.svg"" title=""This image has been removed. For security reasons, only images from the local domain are allowed."" height=""16"" width=""16"" class=""filter-image-invalid"" /></a></li>\n</ul>",,,,English,1699993288,,,
1725532,1,/ahc/mission-procure-preserve-present-and,"Mission: To procure, preserve, present and provide the historical records that make up Austin&amp;#039;s unique story.","<p>As the local history division of the Austin Public Library, the Austin History Center provides the public with information about the history, current events, and activities of Austin and Travis County. We collect and preserve information about local governments, businesses, residents, institutions, and neighborhoods so that generations to come will have access to our history. </p>\n\n<p>The Austin History Center's rich collections and expert staff support exhibits, programs, and research by the public in our <a href=""/ahc/visit-us"">Reading Room</a>.</p>\n\n<p><a href=""/ahc/ahc-videos-312269"">Watch a video</a> about us to learn more.</p>",,,,English,1698855721,,,
